speciesID,NMDS1,NMDS2
AMATU,-1.5218093916672693,-0.11790814768595158
CHEAL,0.31271208943750584,-0.44148503900485697
ABUTH,0.2328476251506669,0.15732273505247674
SECCE,0.2870895254321688,0.190775882520584
SOLPT,0.3090273213200686,-0.44332517203822447
POROL,0.3795415343376653,-0.173169901774373
RAPSA,-0.33009046478532256,0.4813150112556904
SETFA,-0.019682367482151887,-0.09845977794944848
EUPMA,-0.014367405334681761,-0.13284419404756223
SETVI,-0.12402865849386606,-0.10604939635433466
POLAV,0.7908526769404322,-0.6069386854784737
CONCA,-0.06265545900718164,0.5293475464654497
TAROF,0.6573904286208004,0.35457137429936614
DIGSA,-0.1410203926164069,-0.20272180443359722
PLAMA,-0.46152852631933305,0.10321112893019654
OXAST,-0.6098324260403261,0.10081216471299892
POLPY,NaN,NaN
UM,-0.6259194872048298,-0.02342163255902294
UD,-0.33330109164849936,-0.3447676201108011
